9	45	70.6042	Mod
9	46	0	Mod
10	45	71.3298	Mod
10	46	0	Mod
60	117	59.6225	Mod
60	118	57.9207	Mod
61	117	58.4672	Mod
61	118	55.8762	Mod
61	142	48.6931	Mod
61	143	48.1889	Mod
62	142	51.6247	Mod
62	143	49.5935	Mod
217	321	35.9807	Mod
217	322	0	Mod
218	321	40.2033	Mod
218	322	0	Mod
534	564	75.5947	Mod
534	565	74.6242	Mod
534	578	65.5546	Mod
534	579	65.8273	Mod
535	564	76.4963	Mod
535	565	74.2525	Mod
535	578	65.7583	Mod
535	579	65.4033	Mod
45	9	87.518	Exp
46	9	-100	Exp
45	10	90.9916	Exp
46	10	-100	Exp
117	60	88.1513	Exp
118	60	90.887	Exp
117	61	87.7517	Exp
118	61	89.7863	Exp
142	61	75.4311	Exp
143	61	57.4077	Exp
142	62	83.6582	Exp
143	62	73.3588	Exp
321	217	47.9975	Exp
322	217	-100	Exp
321	218	68.8891	Exp
322	218	-100	Exp
564	534	96.1402	Exp
565	534	96.0133	Exp
578	534	90.8302	Exp
579	534	90.2693	Exp
564	535	96.7334	Exp
565	535	95.5114	Exp
578	535	90.3272	Exp
579	535	91.705	Exp
